"","maker_key","model_key","mileage","engine_power","registration_date","fuel","paint_color","car_type","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","price","sold_at","training","validation"
"1","BMW","118",140411,100,"2/1/2012","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11300,"1/1/2018",1,0
"2","BMW","M4",13929,317,"4/1/2016","petrol","grey","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,69700,"2/1/2018",1,0
"3","BMW","320",183297,120,"4/1/2012","diesel","white","convertible",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,10200,"2/1/2018",0,1
"4","BMW","420",128035,135,"7/1/2014","diesel","red","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,25100,"2/1/2018",0,1
"5","BMW","425",97097,160,"12/1/2014","diesel","silver","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,33400,"4/1/2018",1,0
"6","BMW","335",152352,225,"5/1/2011","petrol","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,17100,"2/1/2018",0,1
"7","BMW","325",205219,145,"5/1/2009","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,12400,"2/1/2018",1,0
"8","BMW","118",115560,105,"8/1/2009","petrol","white","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6100,"2/1/2018",0,1
"9","BMW","Z4",123886,125,"7/1/2004","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6200,"3/1/2018",0,1
"10","BMW","320",139541,135,"6/1/2013","diesel","white","convertible",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,17300,"3/1/2018",0,1
"11","BMW","320",77115,135,"9/1/2012","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,19300,"3/1/2018",1,0
"12","BMW","325",228000,145,"9/1/2009","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,13300,"3/1/2018",1,0
"13","BMW","420",132025,135,"3/1/2014","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,21700,"3/1/2018",0,1
"14","BMW","420",77061,135,"8/1/2015","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,36300,"3/1/2018",0,1
"15","BMW","120",174631,120,"1/1/2009","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10500,"4/1/2018",0,1
"16","BMW","120",208945,130,"4/1/2008","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,8300,"4/1/2018",1,0
"17","BMW","220",21167,135,"7/1/2015","petrol","white","convertible",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,21900,"4/1/2018",0,1
"18","BMW","650",24521,270,"1/1/2008","petrol","grey","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9200,"9/1/2018",1,0
"19","BMW","325",205474,145,"5/1/2009","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,11000,"4/1/2018",0,1
"20","BMW","Z4",128940,110,"3/1/2008","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7700,"5/1/2018",0,1
"21","BMW","135",126213,225,"2/1/2013","petrol","white","convertible",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,16800,"5/1/2018",0,1
"22","BMW","218",24868,100,"1/1/2016","petrol","grey","convertible",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,31000,"5/1/2018",0,1
"23","BMW","420",90401,135,"10/1/2014","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,26300,"5/1/2018",0,1
"24","BMW","220",46963,140,"10/1/2015","diesel","orange","convertible",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,23300,"5/1/2018",1,0
"25","BMW","Z4",43662,180,"5/1/2013","petrol","orange","convertible",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,20800,"5/1/2018",1,0
"26","BMW","318",196092,85,"10/1/1995","petrol","blue","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1800,"5/1/2018",0,1
"27","BMW","430",113678,190,"7/1/2014","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,30100,"5/1/2018",1,0
"28","BMW","420",65988,135,"7/1/2014","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,28700,"5/1/2018",1,0
"29","BMW","Z4",123809,125,"7/1/2004","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6500,"5/1/2018",1,0
"30","BMW","320",181252,120,"8/1/2008","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,11100,"5/1/2018",0,1
"31","BMW","118",195114,105,"10/1/2010","diesel","red","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9900,"5/1/2018",0,1
"32","BMW","Z4",82761,110,"5/1/2005","petrol","grey","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9500,"5/1/2018",1,0
"33","BMW","218",25050,100,"1/1/2016","petrol","grey","convertible",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,31000,"6/1/2018",0,1
"34","BMW","420",64832,135,"4/1/2014","diesel","grey","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,27500,"6/1/2018",0,1
"35","BMW","120",240788,120,"1/1/2009","diesel","grey","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5500,"6/1/2018",0,1
"36","BMW","Z4",124516,125,"7/1/2004","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6300,"6/1/2018",1,0
"37","BMW","318",187294,105,"9/1/2001","petrol","red","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2400,"6/1/2018",1,0
"38","BMW","650",24452,270,"1/1/2008","petrol","grey","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6800,"7/1/2018",0,1
"39","BMW","218",17267,110,"3/1/2016","diesel","white","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,24200,"7/1/2018",1,0
"40","BMW","320",194192,120,"7/1/2008","diesel","beige","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,11800,"7/1/2018",0,1
"41","BMW","420",36696,120,"7/1/2014","diesel","black","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,34300,"7/1/2018",0,1
"42","BMW","M3",270907,236,"8/1/1996","petrol","black","convertible",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12100,"8/1/2018",0,1
"43","BMW","330",142483,180,"1/1/2012","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,15800,"8/1/2018",0,1
"44","BMW","120",223269,120,"7/1/2008","diesel","blue","convertible",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,8000,"8/1/2018",1,0
